city,date,aqi,quality_level,pm25,pm10,no2,so2,co,o3
北京,2026-03-21,71.0,good,52.0,90.0,32.0,6.0,0.65,58.0
北京,2026-03-22,69.0,good,50.0,86.0,32.0,3.0,0.57,55.0
北京,2026-03-23,109.0,lightly_polluted,82.0,126.0,23.0,5.0,0.77,96.0
北京,2026-03-24,136.0,lightly_polluted,104.0,150.0,38.0,6.0,0.81,84.0
北京,2026-03-25,163.0,moderately_polluted,124.0,184.0,39.0,4.0,0.8,97.0
北京,2026-03-26,148.0,lightly_polluted,113.0,175.0,34.0,7.0,0.94,110.0
北京,2026-03-27,54.0,good,10.0,25.0,16.0,3.0,0.32,80.0
北京,2026-03-28,75.0,good,49.0,100.0,34.0,5.0,0.52,68.0
北京,2026-03-29,67.0,good,48.0,84.0,29.0,4.0,0.56,69.0
北京,2026-03-30,41.0,excellent,10.0,22.0,14.0,3.0,0.36,67.0
北京,2026-03-31,55.0,good,27.0,60.0,26.0,3.0,0.47,55.0
北京,2026-04-01,50.0,excellent,16.0,50.0,16.0,3.0,0.38,72.0
北京,2026-04-02,80.0,good,39.0,109.0,29.0,5.0,0.5,74.0
北京,2026-04-03,86.0,good,63.0,121.0,31.0,5.0,0.63,68.0
北京,2026-04-04,60.0,good,28.0,70.0,17.0,3.0,0.4,85.0
北京,2026-04-05,48.0,excellent,14.0,37.0,15.0,3.0,0.32,74.0
北京,2026-04-06,42.0,excellent,3.0,18.0,7.0,3.0,0.27,78.0
北京,2026-04-07,42.0,excellent,9.0,30.0,10.0,3.0,0.28,77.0
北京,2026-04-08,71.0,good,48.0,92.0,30.0,5.0,0.49,71.0
北京,2026-04-09,60.0,good,43.0,58.0,17.0,3.0,0.72,57.0
北京,2026-04-10,37.0,excellent,26.0,35.0,18.0,3.0,0.54,60.0
北京,2026-04-11,54.0,good,13.0,58.0,25.0,3.0,0.38,70.0
北京,2026-04-12,74.0,good,32.0,97.0,30.0,4.0,0.56,78.0
北京,2026-04-13,78.0,good,35.0,107.0,24.0,4.0,0.53,71.0
北京,2026-04-14,80.0,good,46.0,109.0,37.0,5.0,0.74,53.0
北京,2026-04-15,98.0,good,73.0,118.0,34.0,5.0,0.87,84.0
北京,2026-04-16,96.0,good,72.0,102.0,29.0,4.0,0.72,68.0
北京,2026-04-17,59.0,good,42.0,55.0,17.0,3.0,0.53,65.0
北京,2026-04-18,100.0,good,75.0,109.0,25.0,3.0,0.75,94.0
北京,2026-04-19,76.0,good,30.0,101.0,14.0,3.0,0.4,79.0
北京,2026-04-20,88.0,good,26.0,127.0,13.0,2.0,0.25,79.0
北京,2026-04-21,66.0,good,28.0,82.0,25.0,3.0,0.4,66.0
北京,2026-04-22,63.0,good,31.0,76.0,21.0,4.0,0.51,81.0
北京,2026-04-23,67.0,good,37.0,69.0,21.0,4.0,0.55,92.0
北京,2026-04-24,62.0,good,40.0,75.0,20.0,3.0,0.49,82.0
北京,2026-04-25,64.0,good,38.0,76.0,23.0,3.0,0.51,87.0
北京,2026-04-26,58.0,good,19.0,55.0,17.0,3.0,0.35,80.0
北京,2026-04-27,44.0,excellent,8.0,31.0,14.0,2.0,0.27,72.0
北京,2026-04-28,42.0,excellent,10.0,26.0,16.0,2.0,0.28,70.0
北京,2026-04-29,43.0,excellent,6.0,19.0,19.0,3.0,0.24,69.0
北京,2026-04-30,62.0,good,20.0,51.0,23.0,3.0,0.32,91.0
北京,2026-05-01,87.0,good,32.0,74.0,21.0,5.0,0.48,109.0
北京,2026-05-02,58.0,good,16.0,39.0,15.0,4.0,0.39,73.0
北京,2026-05-03,40.0,excellent,5.0,15.0,10.0,2.0,0.21,61.0
北京,2026-05-04,49.0,excellent,14.0,42.0,16.0,3.0,0.28,81.0
北京,2026-05-05,84.0,good,30.0,66.0,17.0,4.0,0.43,109.0
北京,2026-05-06,58.0,good,21.0,56.0,14.0,3.0,0.38,82.0
北京,2026-05-07,44.0,excellent,5.0,22.0,7.0,2.0,0.21,80.0
北京,2026-05-08,53.0,good,16.0,46.0,22.0,3.0,0.3,82.0
北京,2026-05-09,64.0,good,35.0,79.0,24.0,4.0,0.44,83.0
北京,2026-05-10,53.0,good,27.0,47.0,24.0,3.0,0.38,78.0
北京,2026-05-11,82.0,good,22.0,50.0,19.0,5.0,0.56,127.0
北京,2026-05-12,105.0,lightly_polluted,39.0,75.0,21.0,4.0,0.61,130.0
北京,2026-05-13,128.0,lightly_polluted,54.0,95.0,21.0,3.0,0.7,148.0
北京,2026-05-14,120.0,lightly_polluted,66.0,99.0,17.0,4.0,0.94,139.0
上海,2026-01-01,30.0,excellent,9.0,18.0,14.0,5.0,0.4,55.0
上海,2026-01-02,31.0,excellent,20.0,31.0,18.0,6.0,0.54,51.0
上海,2026-01-03,58.0,good,35.0,56.0,46.0,8.0,0.72,33.0
上海,2026-01-04,75.0,good,41.0,61.0,60.0,7.0,0.65,26.0
上海,2026-01-05,108.0,lightly_polluted,81.0,92.0,52.0,7.0,0.97,29.0
上海,2026-01-06,118.0,lightly_polluted,89.0,104.0,51.0,6.0,0.9,39.0
上海,2026-01-07,69.0,good,50.0,65.0,49.0,7.0,0.74,40.0
上海,2026-01-08,89.0,good,66.0,96.0,64.0,8.0,0.86,32.0
上海,2026-01-09,85.0,good,63.0,90.0,56.0,7.0,0.68,51.0
上海,2026-01-10,80.0,good,47.0,110.0,49.0,8.0,0.63,45.0
上海,2026-01-11,62.0,good,20.0,74.0,30.0,8.0,0.48,46.0
上海,2026-01-12,63.0,good,31.0,76.0,47.0,7.0,0.52,43.0
上海,2026-01-13,92.0,good,57.0,106.0,74.0,10.0,0.85,29.0
上海,2026-01-14,78.0,good,57.0,93.0,51.0,8.0,0.65,72.0
上海,2026-01-15,89.0,good,66.0,103.0,66.0,9.0,0.79,60.0
上海,2026-01-16,163.0,moderately_polluted,124.0,151.0,65.0,7.0,0.93,70.0
上海,2026-01-17,89.0,good,66.0,95.0,32.0,5.0,0.69,90.0
上海,2026-01-18,45.0,excellent,20.0,45.0,33.0,5.0,0.42,56.0
上海,2026-01-19,34.0,excellent,15.0,29.0,18.0,5.0,0.47,63.0
上海,2026-01-20,32.0,excellent,13.0,19.0,16.0,5.0,0.45,57.0
上海,2026-01-21,36.0,excellent,25.0,36.0,18.0,5.0,0.53,53.0
上海,2026-01-22,44.0,excellent,30.0,44.0,28.0,6.0,0.57,47.0
上海,2026-01-23,71.0,good,52.0,73.0,50.0,7.0,0.66,41.0
上海,2026-01-24,90.0,good,67.0,86.0,56.0,7.0,0.74,49.0
上海,2026-01-25,52.0,good,37.0,47.0,37.0,6.0,0.51,64.0
上海,2026-01-26,42.0,excellent,13.0,24.0,34.0,5.0,0.45,51.0
上海,2026-01-27,56.0,good,40.0,58.0,24.0,5.0,0.58,65.0
上海,2026-01-28,44.0,excellent,22.0,35.0,35.0,5.0,0.42,50.0
上海,2026-01-29,38.0,excellent,16.0,38.0,26.0,5.0,0.36,66.0
上海,2026-01-30,41.0,excellent,18.0,32.0,17.0,5.0,0.4,76.0
上海,2026-01-31,34.0,excellent,12.0,17.0,22.0,5.0,0.38,61.0
上海,2026-02-01,69.0,good,50.0,71.0,48.0,6.0,0.65,37.0
上海,2026-02-02,99.0,good,74.0,97.0,44.0,6.0,0.78,49.0
上海,2026-02-03,49.0,excellent,33.0,44.0,39.0,6.0,0.52,58.0
上海,2026-02-04,60.0,good,35.0,56.0,48.0,7.0,0.6,57.0
上海,2026-02-05,104.0,lightly_polluted,69.0,96.0,89.0,8.0,0.86,20.0
上海,2026-02-06,55.0,good,39.0,59.0,20.0,5.0,0.54,74.0
上海,2026-02-07,36.0,excellent,20.0,32.0,15.0,5.0,0.45,67.0
上海,2026-02-08,40.0,excellent,28.0,40.0,21.0,6.0,0.5,62.0
上海,2026-02-09,41.0,excellent,21.0,32.0,33.0,6.0,0.49,54.0
上海,2026-02-10,41.0,excellent,29.0,39.0,27.0,5.0,0.55,53.0
上海,2026-02-11,99.0,good,74.0,89.0,37.0,6.0,0.91,53.0
上海,2026-02-12,109.0,lightly_polluted,82.0,102.0,35.0,6.0,0.77,87.0
上海,2026-02-13,80.0,good,59.0,82.0,30.0,6.0,0.73,96.0
上海,2026-02-14,75.0,good,55.0,75.0,30.0,6.0,0.81,74.0
上海,2026-02-15,96.0,good,72.0,92.0,29.0,7.0,0.9,97.0
上海,2026-02-16,48.0,excellent,16.0,34.0,12.0,5.0,0.43,77.0
上海,2026-02-17,50.0,excellent,30.0,50.0,12.0,6.0,0.49,78.0
上海,2026-02-18,89.0,good,66.0,82.0,17.0,7.0,0.66,73.0
上海,2026-02-19,92.0,good,69.0,80.0,20.0,7.0,0.63,86.0
上海,2026-02-20,64.0,good,46.0,55.0,18.0,6.0,0.56,78.0
上海,2026-02-21,49.0,excellent,30.0,40.0,15.0,6.0,0.46,83.0
上海,2026-02-22,88.0,good,37.0,125.0,17.0,6.0,0.48,68.0
上海,2026-02-23,62.0,good,17.0,75.0,10.0,5.0,0.37,86.0
上海,2026-02-24,44.0,excellent,10.0,19.0,12.0,5.0,0.42,81.0
上海,2026-02-25,40.0,excellent,20.0,37.0,13.0,5.0,0.4,78.0
上海,2026-02-26,34.0,excellent,14.0,24.0,23.0,5.0,0.41,58.0
上海,2026-02-27,36.0,excellent,13.0,16.0,20.0,5.0,0.41,68.0
上海,2026-02-28,46.0,excellent,21.0,35.0,18.0,5.0,0.4,84.0
上海,2026-03-01,39.0,excellent,10.0,19.0,20.0,5.0,0.38,67.0
上海,2026-03-02,34.0,excellent,10.0,10.0,13.0,5.0,0.45,65.0
上海,2026-03-03,38.0,excellent,19.0,22.0,11.0,5.0,0.48,71.0
上海,2026-03-04,40.0,excellent,9.0,15.0,13.0,5.0,0.4,75.0
上海,2026-03-05,39.0,excellent,22.0,35.0,31.0,5.0,0.51,49.0
上海,2026-03-06,46.0,excellent,32.0,45.0,17.0,6.0,0.66,72.0
上海,2026-03-07,46.0,excellent,21.0,32.0,12.0,5.0,0.45,86.0
上海,2026-03-08,43.0,excellent,12.0,24.0,16.0,6.0,0.38,82.0
上海,2026-03-09,49.0,excellent,21.0,34.0,15.0,6.0,0.45,91.0
上海,2026-03-10,46.0,excellent,11.0,22.0,19.0,6.0,0.4,79.0
上海,2026-03-11,48.0,excellent,16.0,31.0,24.0,6.0,0.41,83.0
上海,2026-03-12,53.0,good,26.0,39.0,20.0,6.0,0.46,90.0
上海,2026-03-13,59.0,good,42.0,56.0,24.0,6.0,0.48,96.0
上海,2026-03-14,64.0,good,23.0,36.0,20.0,6.0,0.39,105.0
上海,2026-03-15,48.0,excellent,13.0,28.0,23.0,6.0,0.3,80.0
上海,2026-03-16,44.0,excellent,26.0,39.0,22.0,5.0,0.4,81.0
上海,2026-03-17,56.0,good,40.0,46.0,25.0,5.0,0.55,84.0
上海,2026-03-18,39.0,excellent,27.0,31.0,29.0,5.0,0.63,50.0
上海,2026-03-19,46.0,excellent,27.0,35.0,23.0,5.0,0.5,81.0
上海,2026-03-20,45.0,excellent,19.0,34.0,29.0,6.0,0.4,70.0
上海,2026-03-21,44.0,excellent,18.0,33.0,25.0,5.0,0.36,76.0
上海,2026-03-22,48.0,excellent,28.0,47.0,33.0,6.0,0.46,77.0
上海,2026-03-23,42.0,excellent,19.0,28.0,32.0,6.0,0.4,72.0
上海,2026-03-24,43.0,excellent,25.0,36.0,30.0,5.0,0.43,75.0
上海,2026-03-25,58.0,good,41.0,52.0,32.0,7.0,0.68,73.0
上海,2026-03-26,45.0,excellent,21.0,34.0,34.0,6.0,0.4,68.0
上海,2026-03-27,46.0,excellent,23.0,37.0,37.0,6.0,0.39,58.0
上海,2026-03-28,50.0,excellent,25.0,43.0,40.0,6.0,0.41,72.0
上海,2026-03-29,72.0,good,35.0,53.0,23.0,6.0,0.47,108.0
上海,2026-03-30,47.0,excellent,29.0,37.0,30.0,6.0,0.53,67.0
上海,2026-03-31,60.0,good,25.0,32.0,20.0,6.0,0.53,99.0
上海,2026-04-01,64.0,good,46.0,59.0,41.0,6.0,0.65,79.0
上海,2026-04-02,82.0,good,49.0,69.0,43.0,7.0,0.66,103.0
上海,2026-04-03,75.0,good,24.0,32.0,20.0,6.0,0.54,104.0
上海,2026-04-04,55.0,good,39.0,55.0,20.0,5.0,0.64,90.0
上海,2026-04-05,78.0,good,33.0,66.0,19.0,6.0,0.58,117.0
上海,2026-04-06,84.0,good,37.0,72.0,24.0,7.0,0.65,108.0
上海,2026-04-07,63.0,good,10.0,26.0,16.0,6.0,0.35,96.0
上海,2026-04-08,54.0,good,10.0,34.0,18.0,6.0,0.39,93.0
上海,2026-04-09,57.0,good,16.0,34.0,19.0,6.0,0.49,86.0
上海,2026-04-10,56.0,good,39.0,52.0,28.0,7.0,0.75,76.0
上海,2026-04-11,52.0,good,33.0,44.0,22.0,5.0,0.57,88.0
上海,2026-04-12,53.0,good,9.0,12.0,17.0,5.0,0.38,95.0
上海,2026-04-13,46.0,excellent,16.0,19.0,19.0,5.0,0.39,85.0
上海,2026-04-14,42.0,excellent,27.0,32.0,34.0,5.0,0.71,53.0
上海,2026-04-15,47.0,excellent,24.0,30.0,24.0,6.0,0.57,84.0
上海,2026-04-16,59.0,good,18.0,29.0,19.0,5.0,0.43,98.0
上海,2026-04-17,48.0,excellent,29.0,42.0,22.0,5.0,0.55,76.0
上海,2026-04-18,48.0,excellent,17.0,26.0,18.0,6.0,0.42,83.0
上海,2026-04-19,46.0,excellent,20.0,32.0,21.0,6.0,0.5,75.0
上海,2026-04-20,40.0,excellent,19.0,32.0,14.0,5.0,0.43,76.0
上海,2026-04-21,81.0,good,23.0,112.0,17.0,6.0,0.33,82.0
上海,2026-04-22,37.0,excellent,11.0,21.0,22.0,5.0,0.46,62.0
上海,2026-04-23,48.0,excellent,10.0,20.0,17.0,5.0,0.4,88.0
上海,2026-04-24,61.0,good,24.0,48.0,28.0,7.0,0.46,90.0
上海,2026-04-25,56.0,good,21.0,41.0,26.0,6.0,0.38,88.0
上海,2026-04-26,83.0,good,23.0,43.0,24.0,6.0,0.38,116.0
上海,2026-04-27,94.0,good,33.0,57.0,29.0,7.0,0.49,126.0
上海,2026-04-28,66.0,good,28.0,48.0,22.0,6.0,0.48,92.0
上海,2026-04-29,48.0,excellent,13.0,15.0,16.0,5.0,0.35,89.0
上海,2026-04-30,62.0,good,27.0,34.0,28.0,6.0,0.51,91.0
上海,2026-05-01,78.0,good,30.0,43.0,31.0,7.0,0.47,111.0
上海,2026-05-02,93.0,good,25.0,43.0,20.0,6.0,0.45,121.0
上海,2026-05-03,52.0,good,31.0,38.0,16.0,6.0,0.55,84.0
上海,2026-05-04,61.0,good,26.0,39.0,28.0,7.0,0.53,86.0
上海,2026-05-05,81.0,good,20.0,33.0,23.0,7.0,0.43,106.0
上海,2026-05-06,82.0,good,14.0,29.0,15.0,6.0,0.38,116.0
上海,2026-05-07,95.0,good,24.0,42.0,19.0,7.0,0.45,119.0
上海,2026-05-08,60.0,good,11.0,19.0,15.0,6.0,0.33,95.0
上海,2026-05-09,51.0,good,11.0,25.0,23.0,6.0,0.3,85.0
上海,2026-05-10,76.0,good,14.0,29.0,15.0,6.0,0.36,115.0
上海,2026-05-11,80.0,good,18.0,33.0,17.0,6.0,0.45,102.0
上海,2026-05-12,72.0,good,24.0,38.0,23.0,6.0,0.48,96.0
上海,2026-05-13,59.0,good,17.0,25.0,21.0,6.0,0.43,79.0
上海,2026-05-14,42.0,excellent,11.0,19.0,12.0,5.0,0.39,73.0
广州,2026-01-01,66.0,good,48.0,72.0,35.0,8.0,0.75,42.0
广州,2026-01-02,38.0,excellent,9.0,17.0,14.0,5.0,0.46,69.0
广州,2026-01-03,38.0,excellent,24.0,37.0,25.0,6.0,0.47,57.0
广州,2026-01-04,62.0,good,35.0,60.0,50.0,6.0,0.64,51.0
广州,2026-01-05,52.0,good,35.0,55.0,42.0,9.0,0.69,36.0
广州,2026-01-06,31.0,excellent,22.0,31.0,15.0,6.0,0.53,51.0
广州,2026-01-07,41.0,excellent,29.0,40.0,25.0,8.0,0.48,66.0
广州,2026-01-08,44.0,excellent,20.0,32.0,28.0,7.0,0.39,72.0
广州,2026-01-09,50.0,excellent,25.0,43.0,40.0,7.0,0.46,64.0
广州,2026-01-10,70.0,good,34.0,61.0,56.0,9.0,0.59,46.0
广州,2026-01-11,46.0,excellent,25.0,42.0,36.0,7.0,0.47,67.0
广州,2026-01-12,92.0,good,48.0,86.0,74.0,8.0,0.73,53.0
广州,2026-01-13,95.0,good,53.0,91.0,76.0,9.0,0.86,52.0
广州,2026-01-14,91.0,good,50.0,85.0,73.0,7.0,0.77,64.0
广州,2026-01-15,101.0,lightly_polluted,54.0,93.0,82.0,7.0,0.84,66.0
广州,2026-01-16,105.0,lightly_polluted,66.0,111.0,90.0,7.0,0.89,86.0
广州,2026-01-17,106.0,lightly_polluted,64.0,108.0,91.0,7.0,0.87,68.0
广州,2026-01-18,91.0,good,53.0,91.0,73.0,6.0,0.78,80.0
广州,2026-01-19,82.0,good,56.0,94.0,66.0,6.0,0.78,85.0
广州,2026-01-20,60.0,good,41.0,71.0,43.0,6.0,0.8,30.0
广州,2026-01-21,28.0,excellent,16.0,28.0,22.0,6.0,0.66,25.0
广州,2026-01-22,30.0,excellent,18.0,30.0,19.0,6.0,0.59,30.0
广州,2026-01-23,39.0,excellent,26.0,39.0,27.0,6.0,0.64,21.0
广州,2026-01-24,58.0,good,41.0,62.0,41.0,7.0,0.83,35.0
广州,2026-01-25,66.0,good,45.0,75.0,53.0,6.0,0.88,67.0
广州,2026-01-26,91.0,good,54.0,94.0,73.0,7.0,0.98,62.0
广州,2026-01-27,64.0,good,46.0,74.0,49.0,7.0,0.9,67.0
广州,2026-01-28,48.0,excellent,30.0,47.0,31.0,7.0,0.93,64.0
广州,2026-01-29,56.0,good,34.0,59.0,39.0,5.0,0.77,74.0
广州,2026-01-30,51.0,good,24.0,40.0,41.0,5.0,0.71,41.0
广州,2026-01-31,30.0,excellent,18.0,30.0,24.0,5.0,0.87,31.0
广州,2026-02-01,33.0,excellent,13.0,20.0,19.0,5.0,0.85,54.0
广州,2026-02-02,38.0,excellent,18.0,29.0,23.0,5.0,0.69,59.0
广州,2026-02-03,52.0,good,29.0,53.0,39.0,5.0,0.69,69.0
广州,2026-02-04,60.0,good,39.0,69.0,47.0,5.0,0.78,69.0
广州,2026-02-05,64.0,good,34.0,62.0,51.0,5.0,0.75,61.0
广州,2026-02-06,62.0,good,22.0,45.0,50.0,6.0,0.7,58.0
广州,2026-02-07,48.0,excellent,21.0,37.0,21.0,5.0,0.81,64.0
广州,2026-02-08,41.0,excellent,16.0,30.0,13.0,4.0,0.56,75.0
广州,2026-02-09,43.0,excellent,22.0,43.0,21.0,5.0,0.47,74.0
广州,2026-02-10,51.0,good,30.0,52.0,31.0,6.0,0.6,57.0
广州,2026-02-11,48.0,excellent,30.0,48.0,28.0,5.0,0.73,55.0
广州,2026-02-12,38.0,excellent,25.0,38.0,21.0,5.0,0.66,55.0
广州,2026-02-13,55.0,good,26.0,43.0,23.0,5.0,0.64,81.0
广州,2026-02-14,62.0,good,23.0,38.0,21.0,5.0,0.63,81.0
广州,2026-02-15,44.0,excellent,14.0,26.0,16.0,5.0,0.57,54.0
广州,2026-02-16,42.0,excellent,20.0,33.0,12.0,4.0,0.55,62.0
广州,2026-02-17,41.0,excellent,29.0,40.0,9.0,8.0,0.7,45.0
广州,2026-02-18,30.0,excellent,20.0,27.0,8.0,6.0,0.7,53.0
广州,2026-02-19,47.0,excellent,33.0,40.0,10.0,5.0,0.71,61.0
广州,2026-02-20,44.0,excellent,31.0,40.0,11.0,5.0,0.78,61.0
广州,2026-02-21,54.0,good,38.0,50.0,13.0,5.0,0.73,84.0
广州,2026-02-22,52.0,good,27.0,37.0,12.0,5.0,0.64,79.0
广州,2026-02-23,52.0,good,34.0,48.0,19.0,5.0,0.71,76.0
广州,2026-02-24,52.0,good,29.0,55.0,15.0,5.0,0.63,68.0
广州,2026-02-25,51.0,good,32.0,52.0,17.0,5.0,0.69,53.0
广州,2026-02-26,36.0,excellent,13.0,25.0,15.0,5.0,0.51,58.0
广州,2026-02-27,34.0,excellent,17.0,30.0,18.0,4.0,0.52,51.0
广州,2026-02-28,28.0,excellent,10.0,15.0,22.0,4.0,0.59,32.0
广州,2026-03-01,24.0,excellent,8.0,16.0,17.0,5.0,0.58,42.0
广州,2026-03-02,29.0,excellent,14.0,26.0,23.0,5.0,0.63,20.0
广州,2026-03-03,20.0,excellent,5.0,10.0,13.0,4.0,0.8,26.0
广州,2026-03-04,20.0,excellent,11.0,16.0,16.0,4.0,0.73,29.0
广州,2026-03-05,24.0,excellent,16.0,22.0,16.0,5.0,0.69,39.0
广州,2026-03-06,42.0,excellent,17.0,23.0,15.0,5.0,0.61,67.0
广州,2026-03-07,46.0,excellent,23.0,33.0,23.0,5.0,0.63,68.0
广州,2026-03-08,69.0,good,32.0,58.0,24.0,5.0,0.62,99.0
广州,2026-03-09,48.0,excellent,28.0,47.0,24.0,6.0,0.67,61.0
广州,2026-03-10,28.0,excellent,8.0,14.0,14.0,5.0,0.61,50.0
广州,2026-03-11,37.0,excellent,21.0,30.0,27.0,5.0,0.65,54.0
